Universitäten, @unipotsdam@wisskomm.social  
Universitäten, @unituebingen@bawü.social  
Universitäten, @unijena@mastodon.social 
Universitäten, @unimannheim@bawü.social  
Universitäten, @Uni_Stuttgart@bawü.social  
Universitäten, @unileipzig@wisskomm.social  
Universitäten, @unibremen@wisskomm.social 
Universitäten, @tudresden@wisskomm.social  
Universitäten, @unikassel@wisskomm.social  
Universitäten, @unikonstanz@bawü.social  
Universitäten, @unifreiburg@bawü.social  
Universitäten, @UniKoeln@wisskomm.social  
Universitäten, @uniinnsbruck@social.uibk.ac.at  
Universitäten, @unifreiburgRZ@bawü.social  
Universitäten, @univienna@fediscience.org  
Universitäten, @unihohenheim@bawü.social  
Universitäten, @IBI_HU@openbiblio.social  
Universitäten, @unigreifswald@mastodon.social  
Universitäten, @UniOldenburg@wisskomm.social  
Universitäten, @tubraunschweig@wisskomm.social  
Universitäten, @uniheidelberg@bawü.social  
Universitäten, @FAU@mastodon.social  
Universitäten, @hfg_gmuend@bawü.social
Universitäten, @hdmstuttgart@bawü.social
Universitäten, @ChariteBerlin@wisskomm.social
Universitäten, @tu_muenchen@wisskomm.social
Universitäten, @HHU@nrw.social
Universitäten, @KIT_Karlsruhe@mastodon.social
Universitäten, @phludwigsburg@bawü.social
Universitäten, @tuchemnitz@mastodon.social
Universitäten, @UniUlm@mastodon.social
Universitäten, @UniKoeln@wisskomm.social
Universitäten, @unituebingen@bawü.social
Universitäten, @freieuniversitaet@berlin.social
Universitäten, @fernunihagen@bildung.social
Universitäten, @HfWU@bawü.social
Universitäten, @HCUHamburg@mastodon.social
